,bitcoin,ethereum,binancecoin,solana,cardano,xrp,polkadot,dogecoin,avalanche,litecoin
bitcoin,1.0,0.7987639903519502,0.6186811968440036,0.5700884485217832,0.6417152143359859,0.5325600072289353,0.673856804155385,0.38383818370321104,0.5831726606983381,0.7078069070394946
ethereum,0.7987639903519502,1.0,0.6300496507139641,0.6328181925200744,0.6845493410956138,0.5579974489335916,0.7294378570724421,0.3587997044549217,0.6201521460582562,0.7344286140178641
binancecoin,0.6186811968440036,0.6300496507139641,1.0,0.5394251105163056,0.5288111857184673,0.45742814506833934,0.5875027883357514,0.239543001662115,0.5382196724892387,0.5800416465477947
solana,0.5700884485217832,0.6328181925200744,0.5394251105163056,1.0,0.5640369625903173,0.4714620686819644,0.5772619306819861,0.26419036912734434,0.5914393014668184,0.5165230581966544
cardano,0.6417152143359859,0.6845493410956138,0.5288111857184673,0.5640369625903173,1.0,0.597108065234473,0.6913297681318049,0.3390833343662256,0.6523247813882954,0.626789496188377
xrp,0.5325600072289353,0.5579974489335916,0.45742814506833934,0.4714620686819644,0.597108065234473,1.0,0.5282159140741581,0.2615723334137157,0.490871642274648,0.583623463375948
polkadot,0.673856804155385,0.7294378570724421,0.5875027883357514,0.5772619306819861,0.6913297681318049,0.5282159140741581,1.0,0.335575993032468,0.6452916886312228,0.6964949459327773
dogecoin,0.38383818370321104,0.3587997044549217,0.239543001662115,0.26419036912734434,0.3390833343662256,0.2615723334137157,0.335575993032468,1.0,0.293394534424463,0.3566099071187071
avalanche,0.5831726606983381,0.6201521460582562,0.5382196724892387,0.5914393014668184,0.6523247813882954,0.490871642274648,0.6452916886312228,0.293394534424463,1.0,0.5570110001078139
litecoin,0.7078069070394946,0.7344286140178641,0.5800416465477947,0.5165230581966544,0.626789496188377,0.583623463375948,0.6964949459327773,0.3566099071187071,0.5570110001078139,1.0
