kind,start,end
stress,2020-11-27 00:00:00+00:00,2020-12-10 00:00:00+00:00
stress,2020-12-24 00:00:00+00:00,2021-01-06 00:00:00+00:00
stress,2021-01-22 00:00:00+00:00,2021-02-04 00:00:00+00:00
stress,2021-02-26 00:00:00+00:00,2021-03-09 00:00:00+00:00
stress,2021-05-13 00:00:00+00:00,2021-06-11 00:00:00+00:00
stress,2021-06-22 00:00:00+00:00,2021-07-05 00:00:00+00:00
stress,2021-09-08 00:00:00+00:00,2021-10-04 00:00:00+00:00
stress,2021-11-27 00:00:00+00:00,2021-12-02 00:00:00+00:00
stress,2021-12-05 00:00:00+00:00,2021-12-10 00:00:00+00:00
stress,2021-12-14 00:00:00+00:00,2021-12-18 00:00:00+00:00
stress,2022-01-22 00:00:00+00:00,2022-02-04 00:00:00+00:00
stress,2022-04-12 00:00:00+00:00,2022-04-17 00:00:00+00:00
stress,2022-04-19 00:00:00+00:00,2022-04-20 00:00:00+00:00
stress,2022-05-10 00:00:00+00:00,2022-05-25 00:00:00+00:00
stress,2022-05-27 00:00:00+00:00,2022-05-30 00:00:00+00:00
stress,2022-06-13 00:00:00+00:00,2022-06-30 00:00:00+00:00
stress,2022-11-09 00:00:00+00:00,2022-11-23 00:00:00+00:00
stress,2024-03-20 00:00:00+00:00,2024-03-22 00:00:00+00:00
stress,2024-03-25 00:00:00+00:00,2024-03-30 00:00:00+00:00
stress,2024-04-14 00:00:00+00:00,2024-04-26 00:00:00+00:00
stress,2024-12-10 00:00:00+00:00,2024-12-23 00:00:00+00:00
stress,2025-03-04 00:00:00+00:00,2025-03-17 00:00:00+00:00
stress,2025-10-11 00:00:00+00:00,2025-10-24 00:00:00+00:00
normal,2020-10-06 00:00:00+00:00,2020-11-26 00:00:00+00:00
normal,2020-12-11 00:00:00+00:00,2020-12-23 00:00:00+00:00
normal,2021-01-07 00:00:00+00:00,2021-01-21 00:00:00+00:00
normal,2021-02-05 00:00:00+00:00,2021-02-25 00:00:00+00:00
normal,2021-03-10 00:00:00+00:00,2021-05-12 00:00:00+00:00
normal,2021-06-12 00:00:00+00:00,2021-06-21 00:00:00+00:00
normal,2021-07-06 00:00:00+00:00,2021-09-07 00:00:00+00:00
normal,2021-10-05 00:00:00+00:00,2021-11-26 00:00:00+00:00
normal,2021-12-03 00:00:00+00:00,2021-12-04 00:00:00+00:00
normal,2021-12-11 00:00:00+00:00,2021-12-13 00:00:00+00:00
normal,2021-12-19 00:00:00+00:00,2022-01-21 00:00:00+00:00
normal,2022-02-05 00:00:00+00:00,2022-04-11 00:00:00+00:00
normal,2022-04-18 00:00:00+00:00,2022-04-18 00:00:00+00:00
normal,2022-04-21 00:00:00+00:00,2022-05-09 00:00:00+00:00
normal,2022-05-26 00:00:00+00:00,2022-05-26 00:00:00+00:00
normal,2022-05-31 00:00:00+00:00,2022-06-12 00:00:00+00:00
normal,2022-07-01 00:00:00+00:00,2022-11-08 00:00:00+00:00
normal,2022-11-24 00:00:00+00:00,2024-03-19 00:00:00+00:00
normal,2024-03-23 00:00:00+00:00,2024-03-24 00:00:00+00:00
normal,2024-03-31 00:00:00+00:00,2024-04-13 00:00:00+00:00
normal,2024-04-27 00:00:00+00:00,2024-12-09 00:00:00+00:00
normal,2024-12-24 00:00:00+00:00,2025-03-03 00:00:00+00:00
normal,2025-03-18 00:00:00+00:00,2025-10-10 00:00:00+00:00
normal,2025-10-25 00:00:00+00:00,2025-11-16 00:00:00+00:00
