,PC1,PC2,PC3,PC4,PC5
bitcoin,0.17554888936924065,-0.08332736787134756,0.037018297663930166,0.0073539427228468575,-0.19395121529430032
ethereum,0.24369760417204844,-0.14332211474076026,0.02553504202405726,0.03304949659921626,-0.2687458585381986
binancecoin,0.2131481237437587,-0.1686728788235117,-0.039174614337509836,0.056858493129990584,-0.3523115197429809
solana,0.317599771607903,-0.2511943192041373,-0.52003206447837,0.709270141521636,0.17122683046630038
cardano,0.3010280530833199,-0.18640778970266755,0.1347064849363239,-0.17819543861174197,0.028297415774194857
xrp,0.27899091136666826,-0.20171234132621724,0.7217194996251115,0.24897760547750117,0.4847596696888972
polkadot,0.30354787715282633,-0.19279058409445618,0.023425664860716212,-0.17896077353253825,-0.38142003544742703
dogecoin,0.5599730448042002,0.8259564258358794,-0.02613448401700068,0.01835159365807013,0.037357053405260784
avalanche,0.35006958055730547,-0.25933156265255514,-0.371501491540316,-0.604780656528429,0.47162676911944446
litecoin,0.25841570066459474,-0.13749682305716338,0.21849394569201339,-0.026263740601391472,-0.3627881914602708
